,REF_DATE,GEO,DGUID,National Occupational Classification,Job vacancy characteristics,Statistics,VALUE,STATUS
2613116,2015-07,New Brunswick,2016A000213,Management occupations [0],Part-time,Job vacancies,55.0,D
2621609,2015-07,New Brunswick,2016A000213,"Business, finance and administration occupations [1]",Full-time,Job vacancies,310.0,D
2630223,2015-07,New Brunswick,2016A000213,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,365.0,D
2639663,2015-07,New Brunswick,2016A000213,Health occupations [3],Full-time,Job vacancies,135.0,D
2639666,2015-07,New Brunswick,2016A000213,Health occupations [3],Part-time,Job vacancies,285.0,D
2645563,2015-07,New Brunswick,2016A000213,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,155.0,D
2657127,2015-07,New Brunswick,2016A000213,Sales and service occupations [6],Full-time,Job vacancies,1345.0,C
2657130,2015-07,New Brunswick,2016A000213,Sales and service occupations [6],Part-time,Job vacancies,1525.0,B
2666803,2015-07,New Brunswick,2016A000213,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,885.0,D
2684031,2015-07,New Brunswick,2016A000213,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,1100.0,B
2694769,2015-07,Quebec,2016A000224,Management occupations [0],Full-time,Job vacancies,3105.0,B
2694772,2015-07,Quebec,2016A000224,Management occupations [0],Part-time,Job vacancies,215.0,D
2703265,2015-07,Quebec,2016A000224,"Business, finance and administration occupations [1]",Full-time,Job vacancies,6430.0,B
2703268,2015-07,Quebec,2016A000224,"Business, finance and administration occupations [1]",Part-time,Job vacancies,1255.0,C
2711879,2015-07,Quebec,2016A000224,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,5155.0,B
2721319,2015-07,Quebec,2016A000224,Health occupations [3],Full-time,Job vacancies,2125.0,C
2721322,2015-07,Quebec,2016A000224,Health occupations [3],Part-time,Job vacancies,1755.0,B
2727219,2015-07,Quebec,2016A000224,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,1910.0,B
2727222,2015-07,Quebec,2016A000224,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,885.0,C
2733591,2015-07,Quebec,2016A000224,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,1055.0,C
2738783,2015-07,Quebec,2016A000224,Sales and service occupations [6],Full-time,Job vacancies,10280.0,B
2738786,2015-07,Quebec,2016A000224,Sales and service occupations [6],Part-time,Job vacancies,9885.0,B
2748459,2015-07,Quebec,2016A000224,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,6755.0,B
2748462,2015-07,Quebec,2016A000224,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,1350.0,D
2765687,2015-07,Quebec,2016A000224,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,4690.0,B
2776425,2015-07,Ontario,2016A000235,Management occupations [0],Full-time,Job vacancies,9610.0,B
2776428,2015-07,Ontario,2016A000235,Management occupations [0],Part-time,Job vacancies,990.0,C
2784921,2015-07,Ontario,2016A000235,"Business, finance and administration occupations [1]",Full-time,Job vacancies,13820.0,A
2784924,2015-07,Ontario,2016A000235,"Business, finance and administration occupations [1]",Part-time,Job vacancies,3620.0,B
2793535,2015-07,Ontario,2016A000235,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,10540.0,B
2793538,2015-07,Ontario,2016A000235,Natural and applied sciences and related occupations [2],Part-time,Job vacancies,380.0,D
2802975,2015-07,Ontario,2016A000235,Health occupations [3],Full-time,Job vacancies,2635.0,B
2802978,2015-07,Ontario,2016A000235,Health occupations [3],Part-time,Job vacancies,5415.0,B
2808875,2015-07,Ontario,2016A000235,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,3910.0,B
2808878,2015-07,Ontario,2016A000235,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,3250.0,C
2815247,2015-07,Ontario,2016A000235,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,1165.0,C
2815250,2015-07,Ontario,2016A000235,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,975.0,C
2820439,2015-07,Ontario,2016A000235,Sales and service occupations [6],Full-time,Job vacancies,25715.0,B
2820442,2015-07,Ontario,2016A000235,Sales and service occupations [6],Part-time,Job vacancies,34970.0,A
2830115,2015-07,Ontario,2016A000235,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,18115.0,A
2830118,2015-07,Ontario,2016A000235,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,2600.0,C
2842741,2015-07,Ontario,2016A000235,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,4710.0,C
2842744,2015-07,Ontario,2016A000235,"Natural resources, agriculture and related production occupations [8]",Part-time,Job vacancies,635.0,D
2847343,2015-07,Ontario,2016A000235,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,7075.0,B
2858081,2015-07,Manitoba,2016A000246,Management occupations [0],Full-time,Job vacancies,665.0,C
2866577,2015-07,Manitoba,2016A000246,"Business, finance and administration occupations [1]",Full-time,Job vacancies,965.0,C
2866580,2015-07,Manitoba,2016A000246,"Business, finance and administration occupations [1]",Part-time,Job vacancies,165.0,D
2875191,2015-07,Manitoba,2016A000246,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,365.0,C
2890531,2015-07,Manitoba,2016A000246,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,525.0,C
2890534,2015-07,Manitoba,2016A000246,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,615.0,D
2896906,2015-07,Manitoba,2016A000246,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,80.0,D
2902095,2015-07,Manitoba,2016A000246,Sales and service occupations [6],Full-time,Job vacancies,1735.0,B
2902098,2015-07,Manitoba,2016A000246,Sales and service occupations [6],Part-time,Job vacancies,2410.0,B
2911771,2015-07,Manitoba,2016A000246,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,2210.0,C
2911774,2015-07,Manitoba,2016A000246,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,225.0,D
2924397,2015-07,Manitoba,2016A000246,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,450.0,D
2928999,2015-07,Manitoba,2016A000246,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,510.0,D
2939737,2015-07,Saskatchewan,2016A000247,Management occupations [0],Full-time,Job vacancies,575.0,C
2948233,2015-07,Saskatchewan,2016A000247,"Business, finance and administration occupations [1]",Full-time,Job vacancies,820.0,C
2948236,2015-07,Saskatchewan,2016A000247,"Business, finance and administration occupations [1]",Part-time,Job vacancies,265.0,D
2956847,2015-07,Saskatchewan,2016A000247,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,325.0,C
2966287,2015-07,Saskatchewan,2016A000247,Health occupations [3],Full-time,Job vacancies,335.0,C
2966290,2015-07,Saskatchewan,2016A000247,Health occupations [3],Part-time,Job vacancies,235.0,C
2972187,2015-07,Saskatchewan,2016A000247,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,450.0,D
2972190,2015-07,Saskatchewan,2016A000247,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,340.0,B
2978559,2015-07,Saskatchewan,2016A000247,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,45.0,D
2978562,2015-07,Saskatchewan,2016A000247,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,55.0,D
2983751,2015-07,Saskatchewan,2016A000247,Sales and service occupations [6],Full-time,Job vacancies,2560.0,B
2983754,2015-07,Saskatchewan,2016A000247,Sales and service occupations [6],Part-time,Job vacancies,2775.0,B
2993427,2015-07,Saskatchewan,2016A000247,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,1600.0,B
3006053,2015-07,Saskatchewan,2016A000247,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,420.0,D
3010655,2015-07,Saskatchewan,2016A000247,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,325.0,B
3021393,2015-07,Alberta,2016A000248,Management occupations [0],Full-time,Job vacancies,2360.0,B
3021396,2015-07,Alberta,2016A000248,Management occupations [0],Part-time,Job vacancies,320.0,B
3029889,2015-07,Alberta,2016A000248,"Business, finance and administration occupations [1]",Full-time,Job vacancies,3765.0,B
3029892,2015-07,Alberta,2016A000248,"Business, finance and administration occupations [1]",Part-time,Job vacancies,900.0,C
3038503,2015-07,Alberta,2016A000248,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,1860.0,B
3047943,2015-07,Alberta,2016A000248,Health occupations [3],Full-time,Job vacancies,1030.0,D
3047946,2015-07,Alberta,2016A000248,Health occupations [3],Part-time,Job vacancies,630.0,D
3053843,2015-07,Alberta,2016A000248,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,1445.0,C
3053846,2015-07,Alberta,2016A000248,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,865.0,C
3060215,2015-07,Alberta,2016A000248,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,390.0,D
3065407,2015-07,Alberta,2016A000248,Sales and service occupations [6],Full-time,Job vacancies,16900.0,A
3065410,2015-07,Alberta,2016A000248,Sales and service occupations [6],Part-time,Job vacancies,14500.0,B
3075083,2015-07,Alberta,2016A000248,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,11645.0,B
3075086,2015-07,Alberta,2016A000248,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,900.0,C
3087709,2015-07,Alberta,2016A000248,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,2585.0,D
3092311,2015-07,Alberta,2016A000248,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,1460.0,C
3092314,2015-07,Alberta,2016A000248,Occupations in manufacturing and utilities [9],Part-time,Job vacancies,45.0,D
